Subject,Channel_Pair,Band,Coherence
H S11 EC.fif,C3-T5,Delta,0.1013779738519566
H S11 EC.fif,C3-T5,Theta,0.029737024093221296
H S11 EC.fif,C3-T5,Alpha,0.04357727692559997
H S11 EC.fif,C3-T5,Beta,0.06737785427572869
H S11 EC.fif,C3-T5,Gamma,0.09869816361352482
H S11 EC.fif,C3-Fz,Delta,0.2433704640697911
H S11 EC.fif,C3-Fz,Theta,0.057119169705393484
H S11 EC.fif,C3-Fz,Alpha,0.13087075952531807
H S11 EC.fif,C3-Fz,Beta,0.06391709244629087
H S11 EC.fif,C3-Fz,Gamma,0.07353483484163932
H S11 EC.fif,C3-Fp2,Delta,0.25899998005256475
H S11 EC.fif,C3-Fp2,Theta,0.13078090479664511
H S11 EC.fif,C3-Fp2,Alpha,0.02656317332218061
H S11 EC.fif,C3-Fp2,Beta,0.03006481223961475
H S11 EC.fif,C3-Fp2,Gamma,0.01552039889860844
H S11 EC.fif,C3-F4,Delta,0.019611798682550665
H S11 EC.fif,C3-F4,Theta,0.013211015901180118
H S11 EC.fif,C3-F4,Alpha,0.02403789164690484
H S11 EC.fif,C3-F4,Beta,0.004011942058523119
H S11 EC.fif,C3-F4,Gamma,0.01620172258740658
H S11 EC.fif,C3-C4,Delta,0.2203819665101659
H S11 EC.fif,C3-C4,Theta,0.009896707285990245
H S11 EC.fif,C3-C4,Alpha,0.006016374728386569
H S11 EC.fif,C3-C4,Beta,0.01823702152286456
H S11 EC.fif,C3-C4,Gamma,0.013307874241536071
H S11 EC.fif,C3-P4,Delta,0.12174526423830703
H S11 EC.fif,C3-P4,Theta,0.046942310022562765
H S11 EC.fif,C3-P4,Alpha,0.2487570766497809
H S11 EC.fif,C3-P4,Beta,0.1335210167085207
H S11 EC.fif,C3-P4,Gamma,0.10007527854667375
H S11 EC.fif,C3-O2,Delta,0.3212009240195645
H S11 EC.fif,C3-O2,Theta,0.2057466258366387
H S11 EC.fif,C3-O2,Alpha,0.3446423514205249
H S11 EC.fif,C3-O2,Beta,0.190614147481082
H S11 EC.fif,C3-O2,Gamma,0.2025240941777138
H S11 EC.fif,C3-F8,Delta,0.166596186284669
H S11 EC.fif,C3-F8,Theta,0.19678413616301377
H S11 EC.fif,C3-F8,Alpha,0.06340885425856496
H S11 EC.fif,C3-F8,Beta,0.07505794783866808
H S11 EC.fif,C3-F8,Gamma,0.01928284889793178
H S11 EC.fif,C3-T4,Delta,0.3135697312189584
H S11 EC.fif,C3-T4,Theta,0.3510100024876111
H S11 EC.fif,C3-T4,Alpha,0.2574285731053959
H S11 EC.fif,C3-T4,Beta,0.17879896644117727
H S11 EC.fif,C3-T4,Gamma,0.01392570850331387
H S11 EC.fif,C3-T6,Delta,0.2638691366846115
H S11 EC.fif,C3-T6,Theta,0.3030784524809383
H S11 EC.fif,C3-T6,Alpha,0.5037620129010462
H S11 EC.fif,C3-T6,Beta,0.29248551006115364
H S11 EC.fif,C3-T6,Gamma,0.17890181321934667
H S11 EC.fif,C3-Cz,Delta,0.37044243780876746
H S11 EC.fif,C3-Cz,Theta,0.3448124716535798
H S11 EC.fif,C3-Cz,Alpha,0.34975791218539504
H S11 EC.fif,C3-Cz,Beta,0.2859106835856259
H S11 EC.fif,C3-Cz,Gamma,0.20173990837296613
H S11 EC.fif,C3-Pz,Delta,0.23478958003978942
H S11 EC.fif,C3-Pz,Theta,0.07700881932071511
H S11 EC.fif,C3-Pz,Alpha,0.05009130148800764
H S11 EC.fif,C3-Pz,Beta,0.03745045529401864
H S11 EC.fif,C3-Pz,Gamma,0.015863244810663302
H S11 EC.fif,P3-O1,Delta,0.2262524128212054
H S11 EC.fif,P3-O1,Theta,0.3950571352312472
H S11 EC.fif,P3-O1,Alpha,0.48604353422226826
H S11 EC.fif,P3-O1,Beta,0.27273652099330653
H S11 EC.fif,P3-O1,Gamma,0.08379368217328692
H S11 EC.fif,P3-F7,Delta,0.16625718016249572
H S11 EC.fif,P3-F7,Theta,0.10930320989400805
H S11 EC.fif,P3-F7,Alpha,0.12280458301341524
H S11 EC.fif,P3-F7,Beta,0.07447838924107378
H S11 EC.fif,P3-F7,Gamma,0.032077105162525224
H S11 EC.fif,P3-T3,Delta,0.036185812789469474
H S11 EC.fif,P3-T3,Theta,0.0551657486584293
H S11 EC.fif,P3-T3,Alpha,0.07182940790989899
H S11 EC.fif,P3-T3,Beta,0.03341085274241383
H S11 EC.fif,P3-T3,Gamma,0.0052591371650258295
H S11 EC.fif,P3-T5,Delta,0.3173754742821033
H S11 EC.fif,P3-T5,Theta,0.4856913828880179
H S11 EC.fif,P3-T5,Alpha,0.6016266803480171
H S11 EC.fif,P3-T5,Beta,0.5290731177919772
H S11 EC.fif,P3-T5,Gamma,0.34885067700778905
H S11 EC.fif,P3-Fz,Delta,0.11843515176821404
H S11 EC.fif,P3-Fz,Theta,0.25056912537062215
H S11 EC.fif,P3-Fz,Alpha,0.25134276075407447
H S11 EC.fif,P3-Fz,Beta,0.1785686491626751
H S11 EC.fif,P3-Fz,Gamma,0.03954876198269494
H S11 EC.fif,P3-Fp2,Delta,0.5194928876862625
H S11 EC.fif,P3-Fp2,Theta,0.4864932881230082
H S11 EC.fif,P3-Fp2,Alpha,0.43335737995765616
H S11 EC.fif,P3-Fp2,Beta,0.2718211547078872
H S11 EC.fif,P3-Fp2,Gamma,0.14502207321918484
H S11 EC.fif,P3-F4,Delta,0.2985167454218235
H S11 EC.fif,P3-F4,Theta,0.4202675541232883
H S11 EC.fif,P3-F4,Alpha,0.42367827575819145
H S11 EC.fif,P3-F4,Beta,0.27822419025440775
H S11 EC.fif,P3-F4,Gamma,0.09955396584040092
H S11 EC.fif,P3-C4,Delta,0.09055463307607324
H S11 EC.fif,P3-C4,Theta,0.07988730008276426
H S11 EC.fif,P3-C4,Alpha,0.27439645071982555
H S11 EC.fif,P3-C4,Beta,0.09626733441494577
H S11 EC.fif,P3-C4,Gamma,0.0036471696566547523
H S11 EC.fif,P3-P4,Delta,0.2602380663749228
H S11 EC.fif,P3-P4,Theta,0.08350962970677807
H S11 EC.fif,P3-P4,Alpha,0.005504858313993967
H S11 EC.fif,P3-P4,Beta,0.01793801826454051
H S11 EC.fif,P3-P4,Gamma,0.014580628305973689
H S11 EC.fif,P3-O2,Delta,0.037495483581806544
H S11 EC.fif,P3-O2,Theta,0.07065807565844824
H S11 EC.fif,P3-O2,Alpha,0.02947553297893977
H S11 EC.fif,P3-O2,Beta,0.015014926925297765
H S11 EC.fif,P3-O2,Gamma,0.006179924139804985
H S11 EC.fif,P3-F8,Delta,0.21890227367111073
H S11 EC.fif,P3-F8,Theta,0.3122011822906842
H S11 EC.fif,P3-F8,Alpha,0.45886425864813535
H S11 EC.fif,P3-F8,Beta,0.28498178076834274
H S11 EC.fif,P3-F8,Gamma,0.1727940231565249
H S11 EC.fif,P3-T4,Delta,0.28492450128726493
H S11 EC.fif,P3-T4,Theta,0.2151317409066378
H S11 EC.fif,P3-T4,Alpha,0.43184882476885067
H S11 EC.fif,P3-T4,Beta,0.14854746150874545
H S11 EC.fif,P3-T4,Gamma,0.03231107120222204
H S11 EC.fif,P3-T6,Delta,0.02743542784704498
H S11 EC.fif,P3-T6,Theta,0.01384053633027229
H S11 EC.fif,P3-T6,Alpha,0.06710731986875447
H S11 EC.fif,P3-T6,Beta,0.01533857487666593
H S11 EC.fif,P3-T6,Gamma,0.01548448539213784
H S11 EC.fif,P3-Cz,Delta,0.15122139150158206
H S11 EC.fif,P3-Cz,Theta,0.011462749605844943
H S11 EC.fif,P3-Cz,Alpha,0.04017277299576494
H S11 EC.fif,P3-Cz,Beta,0.030033943328495277
H S11 EC.fif,P3-Cz,Gamma,0.07235521285743164
H S11 EC.fif,P3-Pz,Delta,0.5943085616480707
H S11 EC.fif,P3-Pz,Theta,0.5183724164863089
H S11 EC.fif,P3-Pz,Alpha,0.3726580289686561
H S11 EC.fif,P3-Pz,Beta,0.32537075662182274
H S11 EC.fif,P3-Pz,Gamma,0.12751008895876143
H S11 EC.fif,O1-F7,Delta,0.047469412925013166
H S11 EC.fif,O1-F7,Theta,0.09686237504993743
H S11 EC.fif,O1-F7,Alpha,0.2568377758489644
H S11 EC.fif,O1-F7,Beta,0.23529900123360878
H S11 EC.fif,O1-F7,Gamma,0.3631469640616641
H S11 EC.fif,O1-T3,Delta,0.03649279951967349
H S11 EC.fif,O1-T3,Theta,0.016774970987591672
H S11 EC.fif,O1-T3,Alpha,0.04241136400647487
H S11 EC.fif,O1-T3,Beta,0.01972203828184975
H S11 EC.fif,O1-T3,Gamma,0.07637722880893927
H S11 EC.fif,O1-T5,Delta,0.45715182843194135
H S11 EC.fif,O1-T5,Theta,0.4558117139847403
H S11 EC.fif,O1-T5,Alpha,0.5341245799471426
H S11 EC.fif,O1-T5,Beta,0.2584585006680095
H S11 EC.fif,O1-T5,Gamma,0.026619906332039863
H S11 EC.fif,O1-Fz,Delta,0.4326965532937435
H S11 EC.fif,O1-Fz,Theta,0.43363791726413525
H S11 EC.fif,O1-Fz,Alpha,0.5375696738234199
H S11 EC.fif,O1-Fz,Beta,0.41388289221993746
H S11 EC.fif,O1-Fz,Gamma,0.3661934988400256
H S11 EC.fif,O1-Fp2,Delta,0.13894368889099545
H S11 EC.fif,O1-Fp2,Theta,0.2708035780952603
H S11 EC.fif,O1-Fp2,Alpha,0.4896300166499036
H S11 EC.fif,O1-Fp2,Beta,0.3537760928905148
H S11 EC.fif,O1-Fp2,Gamma,0.37354939253929076
H S11 EC.fif,O1-F4,Delta,0.3570334822389434
H S11 EC.fif,O1-F4,Theta,0.4441483746751085
H S11 EC.fif,O1-F4,Alpha,0.5946724266164884
H S11 EC.fif,O1-F4,Beta,0.4161774377253376
H S11 EC.fif,O1-F4,Gamma,0.3482249779330997
H S11 EC.fif,O1-C4,Delta,0.22923681595039214
H S11 EC.fif,O1-C4,Theta,0.21377878476245618
H S11 EC.fif,O1-C4,Alpha,0.4131553185903671
H S11 EC.fif,O1-C4,Beta,0.14682651743012268
H S11 EC.fif,O1-C4,Gamma,0.0869201947486443
H S11 EC.fif,O1-P4,Delta,0.0796452780493468
H S11 EC.fif,O1-P4,Theta,0.10457839795579187
H S11 EC.fif,O1-P4,Alpha,0.059157124163411394
H S11 EC.fif,O1-P4,Beta,0.18712760913631282
H S11 EC.fif,O1-P4,Gamma,0.37941685981738094
H S11 EC.fif,O1-O2,Delta,0.5220982254902847
H S11 EC.fif,O1-O2,Theta,0.4405390816773369
H S11 EC.fif,O1-O2,Alpha,0.33112937961901445
H S11 EC.fif,O1-O2,Beta,0.416048715071622
H S11 EC.fif,O1-O2,Gamma,0.49551871004889564
H S11 EC.fif,O1-F8,Delta,0.12616440085927352
H S11 EC.fif,O1-F8,Theta,0.1676367118778098
H S11 EC.fif,O1-F8,Alpha,0.4318656163728163
H S11 EC.fif,O1-F8,Beta,0.29092523617506133
H S11 EC.fif,O1-F8,Gamma,0.31027415950132553
H S11 EC.fif,O1-T4,Delta,0.0517232678517588
H S11 EC.fif,O1-T4,Theta,0.05283387264614434
H S11 EC.fif,O1-T4,Alpha,0.22714839863253988
H S11 EC.fif,O1-T4,Beta,0.08861248164212047
H S11 EC.fif,O1-T4,Gamma,0.15770678178870096
H S11 EC.fif,O1-T6,Delta,0.17615257870660608
H S11 EC.fif,O1-T6,Theta,0.09260041021891535
H S11 EC.fif,O1-T6,Alpha,0.06387139409759969
H S11 EC.fif,O1-T6,Beta,0.1829160934548365
H S11 EC.fif,O1-T6,Gamma,0.3232991531520489
H S11 EC.fif,O1-Cz,Delta,0.13578931603218597
H S11 EC.fif,O1-Cz,Theta,0.12534529675018366
H S11 EC.fif,O1-Cz,Alpha,0.24734195602606115
H S11 EC.fif,O1-Cz,Beta,0.1320799890653081
H S11 EC.fif,O1-Cz,Gamma,0.0839737251625342
H S11 EC.fif,O1-Pz,Delta,0.09081990869523396
H S11 EC.fif,O1-Pz,Theta,0.17846602579646512
H S11 EC.fif,O1-Pz,Alpha,0.22286312658061144
H S11 EC.fif,O1-Pz,Beta,0.1935963654603668
H S11 EC.fif,O1-Pz,Gamma,0.25349731573617107
H S11 EC.fif,F7-T3,Delta,0.2770871429780192
H S11 EC.fif,F7-T3,Theta,0.3670812204555985
H S11 EC.fif,F7-T3,Alpha,0.3578734544734438
H S11 EC.fif,F7-T3,Beta,0.12520920819940137
H S11 EC.fif,F7-T3,Gamma,0.06799722207746209
H S11 EC.fif,F7-T5,Delta,0.024572594876716185
H S11 EC.fif,F7-T5,Theta,0.005218337493343532
H S11 EC.fif,F7-T5,Alpha,0.035520010536807034
H S11 EC.fif,F7-T5,Beta,0.010432586988003178
H S11 EC.fif,F7-T5,Gamma,0.031184141276021357
H S11 EC.fif,F7-Fz,Delta,0.09297833260440543
H S11 EC.fif,F7-Fz,Theta,0.029797930163939834
H S11 EC.fif,F7-Fz,Alpha,0.23039571109261514
H S11 EC.fif,F7-Fz,Beta,0.14612511168425746
H S11 EC.fif,F7-Fz,Gamma,0.24494376874711704
H S11 EC.fif,F7-Fp2,Delta,0.26441372141357283
H S11 EC.fif,F7-Fp2,Theta,0.2264477478038453
H S11 EC.fif,F7-Fp2,Alpha,0.43812688349838763
H S11 EC.fif,F7-Fp2,Beta,0.2800634878100333
H S11 EC.fif,F7-Fp2,Gamma,0.33180692641347437
H S11 EC.fif,F7-F4,Delta,0.010261440204211283
H S11 EC.fif,F7-F4,Theta,0.005967551614998997
H S11 EC.fif,F7-F4,Alpha,0.15828429172514255
H S11 EC.fif,F7-F4,Beta,0.05426191995760253
H S11 EC.fif,F7-F4,Gamma,0.12831416173659133
H S11 EC.fif,F7-C4,Delta,0.36171173637874826
H S11 EC.fif,F7-C4,Theta,0.21254845955784762
H S11 EC.fif,F7-C4,Alpha,0.06508857092569977
H S11 EC.fif,F7-C4,Beta,0.0735296531038681
H S11 EC.fif,F7-C4,Gamma,0.011205417429174419
H S11 EC.fif,F7-P4,Delta,0.46353791238892933
H S11 EC.fif,F7-P4,Theta,0.4428869251692917
H S11 EC.fif,F7-P4,Alpha,0.5011467268682828
H S11 EC.fif,F7-P4,Beta,0.42785334553148896
H S11 EC.fif,F7-P4,Gamma,0.4971401459994882
H S11 EC.fif,F7-O2,Delta,0.04933375905567245
H S11 EC.fif,F7-O2,Theta,0.15186737841717635
H S11 EC.fif,F7-O2,Alpha,0.4102793511572709
H S11 EC.fif,F7-O2,Beta,0.3294986366411609
H S11 EC.fif,F7-O2,Gamma,0.45565155161722115
H S11 EC.fif,F7-F8,Delta,0.02647865620266639
H S11 EC.fif,F7-F8,Theta,0.01774205773189797
H S11 EC.fif,F7-F8,Alpha,0.16931457731370558
H S11 EC.fif,F7-F8,Beta,0.06745380753525104
H S11 EC.fif,F7-F8,Gamma,0.13746618613256306
H S11 EC.fif,F7-T4,Delta,0.03644780774610499
H S11 EC.fif,F7-T4,Theta,0.023008299212541924
H S11 EC.fif,F7-T4,Alpha,0.01578949099766815
H S11 EC.fif,F7-T4,Beta,0.017232885346581128
H S11 EC.fif,F7-T4,Gamma,0.02472787296071926
H S11 EC.fif,F7-T6,Delta,0.09959194436397092
H S11 EC.fif,F7-T6,Theta,0.14987607067001232
H S11 EC.fif,F7-T6,Alpha,0.26292199222009816
H S11 EC.fif,F7-T6,Beta,0.2986409505273863
H S11 EC.fif,F7-T6,Gamma,0.43620878349775616
H S11 EC.fif,F7-Cz,Delta,0.21248887685718015
H S11 EC.fif,F7-Cz,Theta,0.0818836623261106
H S11 EC.fif,F7-Cz,Alpha,0.0553303982186374
H S11 EC.fif,F7-Cz,Beta,0.01082758739179448
H S11 EC.fif,F7-Cz,Gamma,0.011300174590740517
H S11 EC.fif,F7-Pz,Delta,0.3655095510672899
H S11 EC.fif,F7-Pz,Theta,0.34307102149240887
H S11 EC.fif,F7-Pz,Alpha,0.3762479989878653
H S11 EC.fif,F7-Pz,Beta,0.3062522019086978
